title,lng,lat
Saphan Mai Post Office,100.60505,13.889414
Amelia Earhart in Harbour Grace,-53.256371,47.672139
風化して判別できない石碑,139.570519,35.640484
Pepito Grillo Y Pinocho,-4.532745,42.019743
McClintock Presbyterian Church,-80.977704,35.116839
Taco Bell Mural Number 2,-118.429414,34.006305
拾遺愚草員外石碑,135.416742,34.79152
Pageant in Time,145.90614,-41.053061
The Maples Community Church,-97.176797,49.962468
Prairie Hills Park Basketball Court,-117.38373,47.728317
Glengarry Park,-113.471065,53.595161
Spielplatz Bockhorst,9.052055,53.071132
Monumento Ai Caduti Di Guerra - Travettore,11.728646,45.730552
La Purificación de Nuestra Señora,-99.127296,19.461879
Historic Levittown Indian Creek,-74.874155,40.137461
King George V Post Box - Abingdon Avenue,-0.604633,53.207244
Yellow Playground,-97.449488,25.94989
Pillar Pool,-97.168807,32.979183
Museum In The Streets,-83.151443,42.197744
Obličej Z Kořene,12.357881,50.079653
横浜市緑区制50周年　長津田第二小学校,139.489613,35.534283
新宿保険会館郵便局,139.736167,35.693836
山高帽と黒髭の紳士 シャッターアート,136.948777,35.080718
台灣雲豹,120.46869,23.48122
大原・桂木地域福祉センター,135.140409,34.749606
Cancer League of Colorado Memorial and Honoree Garden,-104.83984,39.742561
New Forest Little Free Library,-122.815085,45.452997
Millennium Park Dedication Tribute,-87.622622,41.88269
Mapleton Park Main Trail Entrance,-64.833721,46.125349
Inflorescence 2016 East,153.109094,-27.803428
El Cerdo De La Alberca,-6.110299,40.488137
ท่านท้าวมหาพรหมศักดามมเหศวร,100.627198,13.70115
Bücherschrank,8.656951,53.050229
Burghfield Parish Council Board,-1.066317,51.393739
Meridiana,11.620244,44.223045
Filmgyár Emlékmű,19.099038,47.475147
W.H.T.D.S.O.B. R.U.F.C.,-1.23342,54.698062
Riverfront Park,-123.366409,43.218367
Historic New York City Call Box,-73.999195,40.655736
(주)민영빌딩,127.590608,37.485877
Lone Oak Park Banana,-121.383194,38.719162
国際通り,127.691116,26.217175
Forêt Domaniale Verte,1.093233,49.515844
Les Petites Sentinels De L’adoux,5.795532,44.518955
Bryers Creek Playground,-80.8923,35.605232
若柴 六所神社 庚申塔,139.959458,35.891728
旧石屋川隧道記念碑,135.248053,34.718735
Headstone Allotment Site,-0.351758,51.5925
兰亭熙园,114.244153,30.541472
樫の木の下のお地蔵さん,135.188252,34.050621
Freaky Frog,-81.67735,29.993311
Memorial To Dejan Zivkovic,20.407864,44.85021
Monument Aux Morts De La Fere,3.371313,49.659707
Patrick Square Playground,-82.782266,34.680347
鋼鉄の牛くん,139.597711,36.120071
Wrenthorpe Park sign and river level recorder,-1.517449,53.691451
西長久保バス停,139.591318,35.773998
BBQ Piggy,-84.406429,33.965662
さくらんぼ公園,140.011243,35.940294
West Liberty Vet Horse and Carriage,-83.290745,37.890721
풍경,127.686287,37.659926
Trei Ashar Playground,34.939815,32.190619
Donald MacDonald Playground,145.025283,-37.982387
Koala Bronze,-117.149634,32.737587
延命地蔵尊,135.804392,34.479018
Стелла павшим воинам ВОВ,73.295782,40.769204
木村翁銅像古跡之碑,132.744324,34.432694
Painted Flower Box,-114.832772,35.978187
お地蔵様,138.236547,34.829141
勘右衛門地蔵,134.208894,35.50877
국립부산과학관 큐브 표지석,129.213357,35.203475
Zweftje Wappen,9.698733,52.006169
Fahrradleitsystem Sulingen,8.793971,52.676315
高蔵寺駅改築記念碑,137.040587,35.264166
宇治橋郵便局,135.804184,34.892293
Waldkater,12.216407,51.837301
Fallen Heroes Memorial,-113.788856,35.177742
桃園川緑道,139.687123,35.701257
庚申塔,139.69838,36.114332
Boomstam springen,6.625351,52.399628
Royal College of Music,-0.177138,51.499751
Beethoven Memorial,-122.467787,37.769465
野火止七丁目第１ポケットパーク,139.564295,35.799442
Roland E. Bigonger playground #2,-117.79479,33.871845
Église De Coulanges,1.224323,47.540909
Kapliczka,22.006961,50.016354
Cathays Station,-3.178728,51.48892
Holzzug,10.197609,53.48538
Vandreture i Vester Åby og omegn,10.344475,55.094221
小川町一丁目土地区画整理事業記念,139.444081,35.724693
三柱神社 鳥居,139.480636,35.414573
Stockengut,8.540333,47.323737
Horfield Parish Church,-2.589687,51.487979
Salamander,5.426514,51.505857
Merisataman Venekerho,24.944596,60.154219
King Edward VII Postbox - Lee Conservancy Road,-0.030444,51.550718
nagatabira park open spacea,130.979829,31.98498
Little monk reading poems,101.649581,3.210225
Milsten Eneberga,16.50536,58.532255
Tsui Ping North Bus Terminal,114.229521,22.315673
浄願寺 本堂,136.587691,35.088329
Sumner Lake Little Library,-77.481712,38.774389
"원석의 정원(박태동, 2012)",127.059913,37.508456
Nationaal park Duinen van Texel,4.8083,53.124145
堺市役所高層館,135.483067,34.57374
Mike Schout Wetlands Boardwalk,-80.719072,43.382523
Cwmbran Shopping Centre Map,-3.022721,51.653417
꿈꾸는 여정 행복한 정원,127.153074,36.778414
The White Bunny,25.014989,60.187253
Ginter Honor Roll,-78.382112,40.772358
サクラホール,135.539042,34.643611
Hollain : Chapelle Notre Dame de Lourdes,3.429973,50.546673
東屋（光明橋広場）,139.652086,35.656476
Almere Bos Oostvaders Fietspad,5.287098,52.411164
"County Named, 1786 / County Fo",-84.294828,37.747733
便利小七,121.210551,24.916226
巽橋桜の模様,139.652827,35.572141
Kick Butt Coffee,-97.713903,30.322335
旭町自治会掲示板(鹿沼台2丁目22),139.393156,35.565139
辻井団地第二公園,134.671912,34.852515
TT-Stenen,15.974566,60.287481
Holy Family Church,72.859642,19.115347
岩槻城址公園 テニスコート,139.710095,35.951233
牛牛雕像,121.531586,25.097014
이구열 회장 상,127.436773,36.34951
Podróże Ryszarda Kapuścińskiego,20.996537,52.213222
Free Library on Cheshire Green,-72.901615,41.498987
Ekenäs Gamla Stadshus,23.436059,59.974519
Plaza Fountain,-122.526967,37.973455
穴田頭安地地蔵尊,135.418859,34.492104
畝部地区竣工碑,137.149151,35.002886
Mural at Anna’s House of Flowers,-84.753217,42.243336
운동 쉼터,126.441413,36.768242
Homenaje a los Bomberos voluntarios,-77.52786,-9.528148
Långkatesens lekplats,13.232602,55.700666
Grasslands; Beacon Country Park,-2.747348,53.550665
豊島七丁目南児童遊園・ライオン,139.745145,35.762219
東公園,139.206439,36.318177
Sinclair Dinosaur,-112.724473,46.412063
本町の祠,134.243567,34.088355
道の駅 山之口,131.202304,31.793879
準備變身的涼亭,121.231748,24.816243
Action for Children Plaque,-0.110723,51.504311
硘仔窯商店街窯洞口,121.348266,24.952149
First Presbyterian Church,-74.281203,40.255159
버섯동산,128.61062,35.901888
Dedham Town Clock,-71.170862,42.248729
大阪北港ヨットハーバー,135.411327,34.675425
Conrad Christian Reformed Church,-111.94402,48.176933
Silverado Park,-114.074321,50.885579
ファミリーパーク芳野,135.487506,34.756191
Little Free Library #30661,-122.232272,37.810046
Valley Ridge Softball Field Sign,-97.007555,32.558888
Gabi's Olympic Cards and Comics,-122.8307,47.03872
津別町自然運動公園,144.029629,43.694715
Lakeshore Pedestrian Bridge,-118.56294,34.389664
Sanger Lions Club Supporter Sign,-97.183845,33.341363
Graham Park Playground,-112.113136,33.85141
關渡里里民活動中心,121.468926,25.118579
The Church of Jesus Christ of Latter-day Saints,-75.523062,39.116814
Steinskulptur,12.212456,49.646672
三ヶ日観光案内板,137.582348,34.784314
安楽寺,139.783964,35.723996
Lawton Public Library StoryWalk #6,-98.396662,34.621854
Moanalua Rd Overhead Bridge (Nanakai St entrance),-157.966725,21.401702
鍛冶町児童遊園地,133.815745,35.429166
Madonnina toscana,10.948613,43.721644
Econlockhatchee Sandhills Conservation Area,-81.155962,28.587787
左 さんぐう道 右 中みち,136.510539,34.623714
Spielplatz am Feuerlöschteich Semmenstedt,10.700751,52.094177
突起のある形,141.192444,39.751921
Invention of the Ball Bearing,-72.936758,40.759507
City of Rosemead Garvey Park Public Services Center,-118.097087,34.066368
南飛騨はぎわら十六館,137.209271,35.875144
稲少地区助けあいセンター,135.394782,34.785582
東五軒町町会掲示板(東五軒町2-9),139.739306,35.705223
Rock Fountain,-122.038234,37.324425
Hove - De Merel,4.47642,51.144939
Hylands Park Sundial,0.43502,51.712989
Metallene Vögel,7.05207,50.710237
榛東村山子田の神社,138.99013,36.437239
二子町公園,139.94567,35.710176
子安,136.16936,35.906197
Greyson Park,-97.359779,32.903924
貴婦人,139.708141,35.689811
Caldwell Park,-121.304708,37.977173
まちもり広場,139.260755,36.054685
Friendship for the Future,139.785878,35.671128
大日如来　十一面観世音,130.482537,33.518355
Dickinson Arches,-77.196289,40.202213
ちはら台文月公園前広報掲示板,140.187135,35.531643
東京都下水道局和泉町ポンプ場,139.7765,35.700363
Marco Geodésico de Santo Amaro,-8.551798,40.771806
Vikingaryttare,17.633552,59.843869
Saint Juery Stèle À La Mémoire,2.190666,43.942041
ひまわり町会　掲示板,140.108856,35.501361
ぶた丼 とん善,141.179632,40.610417
Cardio Walker,-81.743034,32.450535
Cove Point Park Playground #1,-76.424657,38.38802
Lum Reserve Tennis Club,145.176197,-37.910896
Fietsen naar nergens,4.666079,52.300416
SG50 Cable Car,103.948595,1.349549
日吉神社 地蔵,137.217184,34.896691
北円山公園,141.316169,43.065174
輪,138.268583,34.911435
Ars sur moselle Kyosque.,6.087061,49.084384
숲속 쉼터,126.965105,37.380706
Turku Info,22.276918,60.487557
水尾東児童遊園,135.577433,34.804145
Ashwood Reserve - Winbirra Parade Entrance,145.100112,-37.869747
John Anderson Meeting Room,-93.240502,45.392691
Monument to The First Public Transport in Munich,11.615296,48.136646
リッチモンドホテル那覇久茂地のシーサー,127.68284,26.220422
Dragonfly in the Sky,-88.983794,42.282009
St. Francis Church,-72.400893,42.277905
Plaque de Cochers - Seine Levallois,2.295801,48.89865
Bizanos - La croix en bois,-0.354474,43.286887
豐原慈濟宮-葫蘆墩媽祖廟,120.719014,24.25159
Fountain At Pro Health Center,-80.627944,36.517504
Metal Birdhouses,-97.697223,30.400327
Zde žil Lederer,14.373624,50.107768
Mililani Marketplace Marker,-158.021573,21.442071
East Lake Preserve Playground,-81.298292,28.329776
Carousel,-77.198422,39.118058
風見鶏,135.195482,34.861858
Walk the Lake Trail at Hillside Park,-75.730366,41.485087
Haus Tönnies,7.243345,51.274831
Herrljunga Folkets Park,13.035186,58.071711
Peace Love and Popcorn,-97.147979,31.504139
알록달록 나비들,126.640401,37.402791
深井東町いわかがみ公園,135.504561,34.530243
Orange Korean Evangelical Church,-118.007061,33.765913
ねや川文化と歴史のみち,135.605351,34.770167
ステンドグラス・日本バプテスト仙台基督協会,140.868775,38.272291
クロちゃんトンネル,131.140402,33.280038
Partner von Morgen,10.414427,53.250699
Barcroft Park Map and Information Board,-77.101348,38.849876
野々下水辺公園の東屋,139.933467,35.857613
服部時計店のシャッターアート,138.255513,34.871373
Old Deeside Line Sign,-2.140545,57.124931
権十稲荷,138.587279,36.365182
Brunswick Forest Mile Marker 1,-78.035716,34.178936
"George V Postbox, Carr Road",-3.036655,53.859191
海老江２ー１町会コミュニティ掲示板,135.474031,34.697559
Little Free Library - Smith Creek,-119.640095,49.85119
Fernandel,5.390895,43.295117
Hitchin St.Michaels Mt. Community Centre,-0.258108,51.950122
Trail Marker #14,-75.68448,39.984778
Památník obětem 1. světové války,14.25661,50.081
Ventspils Monument 1940-1991,21.585786,57.388461
筥松四丁目のお堂,130.426736,33.633101
빨강 놀이터,127.173221,37.451063
Nebelmauer,8.534703,52.002624
Tylers Rest Pub,-1.025604,51.459417
パンダのオブジェ,139.783248,36.101448
Tanque de São Vicente de Penso,-8.439098,41.487606
比布智神社 鳥居,132.728848,35.334629
桜と楠木の寄贈記念碑,130.682606,32.761031
三益宮,121.386767,25.079381
Bigtom,121.557898,25.038677
Heron Sculpture,-73.373883,40.8924
Cherub Statue at Wescott Station,-93.104214,44.943148
加茂野三ツ池のビオトープ,136.982574,35.4612
Kościół Miłosierdzia Bożego,23.17114,50.652361
Amerige Heights Community Pillar Hughes and Gilbert #1,-117.965686,33.882811
Playground at Waterview Estates,-95.723913,29.668588
Busto de Dacio Ferrera,-16.304885,28.449342
Sharps Lane Playground,-74.685647,40.195772
延平路三段佈告欄,120.929562,24.8348
Desert Mural,-118.416068,34.239053
Spotted Gum Park,151.539651,-32.699244
Lucy Box,-3.821535,53.322982
Parish of Reading Plaque,-0.99644,51.456948
福德亭,121.050198,24.784748
Queen Elizabeth II Memorial Bench,9.23E-4,51.033278
青山霊園,139.723288,35.662197
El Diestro,-5.848876,43.363532
YUKA 17,141.585628,42.905615
Kai Chan - Team Dedication Plaque,-118.135729,34.087834
Art Graffiti,-0.682629,37.975831
Veterans Memorial Park,-77.249635,38.638046
楓之苑,121.533941,24.991556
六実6丁目公園,139.996039,35.795907
漣橋,139.816255,35.655078
Western Addition Branch Library,-122.437754,37.784206
Church Dubec,14.580496,50.055361
光と風の丘公園美浦中央公民館側案内板,140.302871,36.003723
寄り添う鳥のモニュメント,139.388173,35.598844
勝林寺,139.762787,35.954051
หุ่นยนต์ถังแก๊ส (mini Gas TankRobot),104.307251,15.121171
Women of Achievement,-93.618687,41.591936
Alesmith Brewery Anvil Statue,-117.149286,32.887752
Patriot Park,-74.587493,40.050082
船屋形茶室,133.827849,34.308658
United Methodist Church,-89.402875,43.387038
Cackling Cactus Trio,-119.280534,47.12751
Stolpersteine Loschinski und Berlin,9.947967,53.549186
Hoxton Square Sculptures,-0.081384,51.527295
Grace Bible Presbyterian Church,103.953468,1.319891
たまごをうんだ人,140.751997,41.791824
Bike Chompers,-112.000304,40.56041
Croix de Vouneuil 1776,0.272473,46.568164
운동기구,127.349094,36.313976
"Dakeng Trail 10, Marker 0.7km",120.736308,24.183874
Lafayette Landing,-81.24799,32.15021
地域掲示板,133.439071,33.549606
North Downs Way - Wibberly Way,0.945274,51.184707
Cantiague Gazebo,-73.548676,40.771695
雲興寺 正門,137.144824,35.221289
長浜びわこ大仏,136.273834,35.36772
寺田寅彦邸跡,133.528443,33.56312
Arte Y Cultura,-116.612829,31.857795
Kailua Racquet Club,-157.750582,21.4035
旧新山下貯木場第一閘門,139.661675,35.44224
板橋区立大谷口公園,139.691018,35.746101
Lilla lilla lekplatsen på Gamla Vägen,18.040876,59.377682
MER Dirt Trail Checkpoint,-115.279326,36.004907
Reptile information board,-85.483946,32.661415
Grande pergola - Parc des Lilas,2.382806,48.779127
洞町案内マップ,137.194354,34.947711
돌하루방,126.638008,33.448905
Farmgate Park,-112.026555,40.533806
Na Mo'olelo o Kapolei,-158.082003,21.329826
Body Curl,-87.365321,39.476665
Monument Aux Morts De Cepie,2.24436,43.102757
Waynebrook Hotel and Suites,-75.913576,40.095611
Bike rack,-117.310969,33.301775
Maple Street YMCA,-96.029058,41.285228
Sonnenuhr im Park,9.1319,52.269428
Châteaux D'eau Roses,-0.644124,45.737423
Äusseres Brühler Tor,11.014801,50.970907
Windham Hill Little Library,-88.110603,41.786261
Chesterfield Playground,-116.447227,43.611128
Brunnen in Stadtzentrum Liederbach,9.246939,50.726855
Grób Chrystusa,20.198126,49.907782
西水元宮田公園,139.853773,35.785589
Midlothian Bicentennial Time Capsule,-97.001722,32.483404
West Wickham Spiritualist Church,-0.02025,51.377475
Biblioteka na Ludowej,21.028108,52.200341
North Bank Fountain at Night,-83.009952,39.965044
Peaceful Meditating Buddha at Maris Gardens,-158.015423,21.428759
Inman Plaza,-92.685695,39.150191
Outdoor World Brown Bear Mascot,-79.542222,43.825
大正町の石碑,138.942897,34.674488
横浜2号公園,133.535823,33.517345
Oude Smidse Dussen,4.961843,51.729929
Little League Mural,-86.118866,39.631865
Ritter Wappen,10.885546,47.808645
國揚大地,121.718002,25.138609
Belmont Place Playground,-83.029586,40.22879
Spielplatz Wieselweg,7.266875,53.336783
Water Mill Express Water Dispenser,-116.972562,33.729165
Ribera Garden,130.335383,33.594666
知多市歴史民俗博物館,136.868544,34.999143
青面金剛供養塔,139.616203,35.892202
Ranchos Border Plaque,-118.183783,33.766005
介山公園のカラフルすべり台,139.311667,35.761094
우리마을 건강산책로,127.120734,37.531696
ホワイトタイガーの絵,130.445529,33.017709
安寿と厨子王,135.283827,35.503607
Rock Garden Waterfall,-111.955903,33.660308
七夜,139.77725,35.980057
Korpemåla Lekplats,16.433744,56.903257
Harold Wilson,-1.783755,53.648311
Diving Towers of Lasitehdas beach,23.968957,60.187123
Chaffinch Rise Picnic Area,-3.393463,50.752074
稲荷神社前の石碑,139.712535,36.549675
사각사각 큐브,129.083095,35.187244
巡礼街道,139.199293,35.280016
Brushy Creek Pepper Rock Park,-97.740202,30.498575
Poort Naar Wijk Links,5.575277,52.136944
Aria Place Waterfall,-88.169674,44.567084
Keep Moving,-122.146102,37.693454
DK's Tiny Playground,-112.087793,43.490333
Casa De La Cultura,-5.92166,37.2883
明直宮五營,120.25662,22.991461
大明宮文化中心,120.701586,24.267706
Skulptur af tre skibe,11.753992,55.222007
Havnsø Havn,11.323809,55.754432
Speeltuin Fanny Blankers-Koenhof,5.06567,51.540403
Labyrinth Healing Garden,-122.561475,45.431181
宮リバーステージ,136.630794,34.431998
遠くを見つめる少女,139.711344,35.748168
Walk/Bike Path Trail & .6 Mile Marker,-83.667072,41.677163
Lavoir de Dordives,2.76753,48.152474
宇野稲荷,133.943491,34.483913
Renaissance Park Community Fountain,-78.660845,35.737376
Byterapers Graffiti Kekkosesta Demoskeneen,27.204662,63.552993
Pioneerland Library System,-95.049143,45.119417
Bike sculpture,-75.499793,40.402745
Lincoln Castle Cannons,-0.539519,53.234478
桧原桜公園,130.39612,33.541514
Zittende vrouwentorso,5.095403,52.11715
Clyde's Veterans Memorial,-82.975699,41.306117
Riverbend Stage & Amphitheater Entrance,-87.365208,36.531433
西郷通三丁目広場,135.573634,34.729428
桜の札所43,140.33049,38.255837
きらくやま ふれあいの丘の噴水,140.088612,35.963053
横浜一号公園,133.533742,33.519455
Plaza Los Lleuques,-71.644214,-36.856004
Plaza Cabo Cristian,-70.74738,-33.365321
Stahlkunst,13.787505,51.027965
憩いの広場,139.813249,35.807996
原市の道祖神,138.87489,36.319681
לא תרצח,27.02479,49.437351
Ferraro Park Playground,150.829841,-33.940959
Uhr an der Dessauer Brücke,11.983543,51.50009
Dedication Plaque To Mr. And Mrs. C.W. Young,-73.971583,40.753043
もえぎ野公園　北側,139.523824,35.547511
Harold J Pond Ice Arena,-93.6674,44.939494
Choose Life,-96.681278,43.53675
Islington Parkette,-79.520799,43.637851
First Baptist Church,-122.269344,37.811312
友好の木の碑,139.6716,35.281171
三角公園(Sankaku park),135.997281,35.070519
Greaves Reserve,145.199651,-37.985518
古代吉備の里,133.773034,34.65956
English Phone Booth du Coudray,2.485531,48.56606
"Passant, souviens toi",6.036209,47.247978
Fresque,-74.005376,40.70813
Vancouver City Hall Entrance,-123.114799,49.260502
Infopanel,16.508994,49.218475
움직이는 분수,127.120907,37.516849
Gedicht op het raam,4.843324,52.37825
Dan Jansen Park,-88.006077,42.956854
Latitude Town Square,-81.01258,32.284705
Happy Travelers,-94.174819,36.359185
Trinkbrunnen,8.774206,47.206464
「新居宿」大井川マラソンコース リバティ(島田市),138.152611,34.829976
Drehscheibe Spielplatz,12.428198,51.343602
さいたま市県営大宮砂団地自治会掲示板見沼区No.42,139.632777,35.952499
Esperance Witch,-74.254432,42.760688
Die bunte Pausenbank,9.424703,48.96126
鳥の象形文字,139.714705,35.732622
Stand Alone Leaf,103.739099,1.322502
8 Wing Fitness Trail,-77.529356,44.105483
竣工記念碑（戸田市北部区画整理事業）,139.656212,35.825455
地蔵尊,135.755041,34.537337
Austråttryggen Trimområde,5.750045,58.846933
Santiago Entryway Fountain,-116.541698,33.809454
运动剪影,114.200752,22.721519
本山南町8丁目2掲示板。,135.2829,34.722975
Sunset Athletic Field,-122.486818,37.755783
Pilar Junto al Mar,-71.560907,-33.017834
Stone Monument,140.446647,36.341107
水車,138.93951,35.328652
Parque de Merendas 3,-8.551909,40.771362
Memoriale Paolo Davoli,10.612133,44.700956
Friendship Forest,4.117776,50.872778
Gronxador d’un os,3.349958,39.691252
黒石山形町郵便局,140.605471,40.638707
出会いの散歩道 中間点 2,139.659796,36.736415
奇奇蒂蒂看板,120.717271,24.3294
金魚,138.618827,35.220265
Baseball Bat Directional Sign,-95.548779,30.059296
Ung Kvinne,10.417981,59.264584
荒巻水辺公園・黄金地蔵,137.010405,35.067908
諏訪児童遊園,139.862851,35.698507
Willkommen in Kaufbach,13.575268,51.051525
"Royal Military Canal Information Board, School of Musketry",1.074218,51.071491
経塚向公園,139.360438,35.754733
Fear the Reaper,-87.655744,41.896576
Heroes Gate,122.531825,10.82709
America's River Mural,-90.657631,42.494972
Infoboard - Muzeum čs. opevnění,14.237996,50.425211
Rick and Morty Graffiti,-98.6019,29.468856
梅田雲濱邸址の碑,135.759768,35.011352
西光寺駐車場,136.761848,35.127724
Cancha Deportiva De Futbol,-71.209443,-32.797455
川越市掲示板,139.480575,35.93369
Campion Trails Granite Memorial,-96.930208,32.881085
吾那神社,139.261873,35.893064
Sea Star,-95.927742,41.224503
Die Simpsons in den Bergen,6.576146,51.303307
西福寺,132.665199,34.323355
旧町名継承碑「黒門町」,135.53346,34.673526
지월5리 현산마을,127.290995,37.403279
Wellington West Map and Info,-75.742148,45.397386
龜田記念公園,141.063675,42.383658
Kamuolių gaudyklė,25.212383,54.676261
Soccer Field Sun Hut #2,-81.735243,26.241473
Knot Artwork,138.593637,-34.924394
New Reality Church,-84.62095,38.98877
Village Baptist Church,-122.138303,37.670314
早宮史跡公園,139.660595,35.750544
今戸 廣樂寺,139.805751,35.720937
Keeping Columbia Green and Growing,-76.834673,39.184325
Pastelka,14.910409,50.433936
Gyldenlundsvej Bunkers,12.577625,55.755714
"Informasjonsskilt, Jølster Kommune",6.080865,61.487953
Stèle A Nos Morts,7.344029,47.930343
Lambertseter Natur Og Aktivitetspark,10.81376,59.873468
Sister Servants of Mary Statue,-90.076368,30.008139
Churchbells on Pillars,4.82546,52.354831
Pomnik Jana Pawła II,17.445703,51.829381
Woodinville Unitarian Universalist Church,-122.084229,47.756627
St. Georgener Dorfbrunnen,7.806923,47.981199
Toboggan girafe,6.717895,49.100623
武芸八幡宮　第一鳥居,136.846839,35.531836
⚪︎×ゲーム,135.539542,34.68541
Regardless of History,-122.459095,37.763253
Crooksbarn Community notice Board,-1.311439,54.595912
살맛나는 교현리,126.97011,37.70091
석산 E편한1차 주민편의시설,129.027633,35.320884
Grasmere Park North Sign,-87.864736,41.53186
中神ふれあい公園,136.944683,36.640582
Snack Shack,-74.266804,41.344201
Library Mushrooms,-122.455975,37.724176
Provence Park Gazebo,-117.11687,33.614932
Freddy Hill,-75.327637,40.237242
Relief Compet,-3.975599,36.833352
平安公園の掲示板,139.693515,35.510075
巷道彩繪,121.313098,24.992587
Die Sitzende Frau,10.194464,53.501127
第八さつき丸,132.573803,33.530911
Säulen,11.670993,48.265004
観音堂,130.417249,33.568995
Edificio Montolini,-70.614214,-33.424089
横浜小高郵便局,139.54958,35.460981
7th street Beach Access,-75.081456,38.337703
Sauvakävelyreitin opasteet,21.775935,61.496864
Shake Pit,-82.599022,27.4955
Azalea Park Playground,-84.366846,34.001462
Henderson Pillar,-3.204182,55.948857
Croix,5.03638,45.383832
国母稲積地蔵立像,138.555278,35.633881
田尻稲荷社 鳥居,137.819031,35.439679
花火,136.749207,35.312772
Escultura a Julio Acosta García,-84.475624,10.091014
거인,127.051074,37.486558
논산역 표지판,127.092191,36.207812
Ettalong Beach Welcome Sign,151.336976,-33.514028
Girl Scouts Book share at Whitehall park.,-97.208982,31.507969
すべり台,135.508472,34.736564
Talking Water Gardens Infomation Kiosk,-123.073509,44.644278
Seventh Day Adventist,-117.64601,34.073203
戰神雕像,121.364029,25.057703
Hilltop park,-120.39848,38.168738
Burton Latimer Pocket Park,-0.695478,52.364025
相生町自治会掲示板,130.457199,33.545345
"Hauki, Kokko Ja Ilmarinen",24.017877,61.159675
The Wellington,-0.111301,51.503627
City Koyo Asaka Pocket Park,139.583949,35.807965
三角點-9032號,120.526696,23.699746
石橋キリスト教会,135.446371,34.807403
女性の像,135.508086,34.622066
長久手市中央図書館「情」,137.039131,35.180959
바다모험놀이터,128.835353,35.236528
文程廣場-義仁亭,121.427774,25.050283
West Footbridge at Pratt Wayne FP,-88.249292,41.965561
Hillyfields Orchard,0.554394,51.390505
しんかいばし児童遊園,139.688708,35.704128
Pair of Giraffes,-91.338191,39.938304
澎湖故事妻,119.568877,23.564645
Vader Light,-73.051191,41.49871
いましろ 大王の杜,135.595404,34.851056
Grote Brogel - Sint Trudo kerk,5.505141,51.153154
Feng Shui Rolling Ball,100.902412,12.938946
望龍埤誌,121.698975,24.774304
龍安公園,121.276143,24.991437
天白神社 鳥居,138.546877,35.620528
港墘里公園休憩涼亭,120.337088,22.567631
棠德东社区党群服务中心,113.380814,23.136191
Woodcrest Park Tiger Swallow Trail,-98.347955,29.538614
Dedication Plaque To Katherine Taylor,-122.030255,47.727218
Washington Activity Center,-112.107592,33.529746
Church of the Messiah,-81.596856,30.367218
Grillplatz 3 Linden,9.392948,48.769313
ｻｸｻｸ小路小川起点噴水,138.460909,36.241355
Cross,37.511174,55.798486
City Of Mentor Bicentennial Plaque,-81.334487,41.697346
Bauernverband Wandkunst,13.996715,53.508891
llantwit Fardre Cricket Club,-3.316471,51.569126
NG Kerk Wilkruin,26.666253,-26.826031
H. Gabriel,4.059818,50.810278
新湊漁港緑地公園,137.088111,36.782433
西淀開発2号公園,135.428673,34.706053
小中島公園遊具,139.37678,35.333529
Totem Cents,6.151373,49.61283
